datetime,ocean_name,latitude,longitude,depth_m,salinity_psu,ph,chlorophyll_mg_m3,nitrate_umol_l,phosphate_umol_l,oxygen_ml_l,current_speed_m_s,wind_speed_m_s,temperature_c
53:16.8,Pacific Ocean,-22.58277861,156.1497923,4495.892131,37.40035945,8.144205482,1.247412813,0.251421835,2.092813504,7.843628294,2.951618954,14.46146747,-16.11173927
53:16.8,Arctic Ocean,81.12857515,66.19192266,5788.142873,36.27700414,8.418191773,4.225716478,5.685732535,0.229742794,7.436051132,0.198692965,16.53849972,-35.68031845
53:16.8,Atlantic Ocean,41.75890953,11.36597497,441.3801253,33.75648735,7.881335817,0.779361747,8.931901964,1.755666863,2.142171959,1.73335891,6.45798704,21.0522291
53:16.8,Other,17.75852716,-168.2427381,320.6076143,31.41059799,8.265190203,0.316587869,10.87823384,2.463062014,4.911500788,2.968704935,9.689717659,24.06701544
53:16.8,Southern Ocean,-61.91664472,-8.785370944,5625.302024,37.09323853,8.09768703,1.150977278,5.857061666,1.16900496,4.888621982,2.07285793,5.215215595,-31.32497866
53:16.8,Southern Ocean,-61.92098634,-33.2106822,3179.253753,38.54565169,8.427012113,3.881291089,16.41262206,0.594002203,4.097743447,2.219308895,4.03026927,-8.007107693
53:16.8,Southern Ocean,-79.54494981,-121.9612277,3689.418087,36.85854492,7.898377676,0.195059025,3.007223401,1.762881892,7.889969312,0.096273434,0.011895161,-15.60899006
53:16.8,Arctic Ocean,65.91170624,56.30745726,2894.54161,30.17878484,7.81909534,0.39452208,30.00088762,2.478919882,1.41735566,0.064089489,19.27263024,-6.426354778
53:16.8,Pacific Ocean,18.20070211,169.6143267,561.9447156,32.16232894,8.387141999,0.780626202,31.50883149,0.146609876,5.390462359,0.108330336,8.818569387,22.18573242
53:16.8,Indian Ocean,37.453064,22.38797198,4608.536271,30.69479985,7.549244401,0.186588208,22.97066758,1.790853651,2.437125359,2.975171707,0.261395461,-22.5158673
53:16.8,Southern Ocean,-86.29479103,77.31117952,4483.347871,35.703861,7.636385393,0.022471237,3.588195082,1.929521386,4.691318433,2.938559282,0.178771551,-23.33267304
53:16.8,Arctic Ocean,84.58377339,-155.3578371,1870.219929,37.56477679,7.582404435,0.410954833,35.60332678,1.807101118,6.458185403,1.003526777,5.767051371,2.125501808
53:16.8,Atlantic Ocean,59.83967534,-29.63988151,1837.435471,31.10579187,8.343109957,2.005230957,38.62543315,1.950101053,2.727087622,0.872945449,0.278753574,5.489679233
53:16.8,Other,-51.77896008,-138.1109453,5027.048285,38.38337821,7.510607423,0.044441453,8.094542413,1.894125923,3.753516825,0.437876237,7.490292353,-26.57538808
53:16.8,Indian Ocean,-57.2715059,40.60650079,434.1435464,35.55508978,8.361657155,0.560241837,28.18559278,0.391211655,7.65537652,0.987420897,1.258770029,21.96750773
53:16.8,Pacific Ocean,-56.98718823,157.853577,5286.63089,36.89969012,7.951267795,1.436328545,33.67754523,0.704810331,6.330365164,1.110449792,0.785031823,-28.52328812
53:16.8,Indian Ocean,-35.23639627,58.23998369,1539.970139,39.71401849,7.504025279,3.061500284,21.5937409,1.856982016,5.009062292,2.24484845,13.38762788,11.15450073
53:16.8,Other,4.456157694,-152.3509026,3557.908487,30.83680988,7.901645177,4.231911447,12.93292398,0.053079483,2.553981715,2.598880659,18.13682579,-7.140311119
53:16.8,Atlantic Ocean,-12.24989664,-52.32016621,5615.965074,39.01224023,7.686800841,0.548128437,19.1423486,1.904233556,3.977138062,2.240205359,8.187731666,-26.0259215
53:16.8,Atlantic Ocean,-37.57875476,18.2388166,4068.735009,31.26102696,8.124400487,3.00344785,20.49075003,1.996159871,6.418429233,1.939425303,16.73540861,-14.30255009
53:16.8,Atlantic Ocean,20.13352105,-34.84520779,2486.578875,33.92958807,8.17935879,0.036061441,16.02548177,0.71752428,6.743801547,2.297700234,0.585309223,2.63246545
53:16.8,Southern Ocean,-64.89110508,120.1118438,4137.205253,38.51438696,7.98752757,1.37009405,37.19369975,1.794398489,2.712243387,2.215492437,15.55380112,-18.59697606
53:16.8,Pacific Ocean,-37.41396326,113.2815617,2063.877818,39.06254237,7.540519525,1.029308363,29.75532444,1.602270182,5.634421473,1.427249081,1.255999846,5.220036835
53:16.8,Indian Ocean,-24.05486821,40.25916724,1663.550498,35.06371674,8.156128804,0.287044752,9.65206569,0.782074644,1.665020945,1.007554207,16.76878846,11.25813924
53:16.8,Atlantic Ocean,-7.907402841,-45.55513975,5980.099668,35.94104638,8.342038784,0.70789236,23.42228749,1.388922036,1.162486152,0.848342151,17.6473269,-29.41620055
53:16.8,Other,51.33167305,-88.07890545,4504.741387,37.08147335,8.220324277,0.138749254,27.54756604,2.728873588,4.840717464,2.038066379,15.71947685,-18.64681126
53:16.8,Other,-54.05871921,-141.8852454,3868.319864,38.32758668,8.329957919,2.052582699,5.606256868,1.279808341,2.57065898,2.877912373,16.41498049,-13.25546065
53:16.8,Atlantic Ocean,2.562198914,-52.23683394,2131.737859,31.2151117,7.700509524,0.443008243,14.3370297,1.889532531,1.552384219,1.743164157,11.22969133,8.636723421
53:16.8,Atlantic Ocean,16.6346224,-31.25789381,294.9649749,38.10069308,8.38888794,0.983618394,36.22193126,0.106052463,6.10879819,2.737579507,5.297698852,27.91937585
53:16.8,Southern Ocean,-81.63892571,63.29625304,186.3412562,34.81276151,7.822193451,0.172897645,22.68692401,0.23340034,4.485822119,0.042688113,12.86462005,21.12559488
53:16.8,Indian Ocean,19.35807334,56.93753675,3325.087533,34.50623425,7.513404814,0.230879452,8.679909842,0.24392422,6.573939077,2.38341194,8.790832982,-4.36339791
53:16.8,Other,-59.30565774,-154.7610697,4572.196326,34.23899752,8.343391646,4.822874905,4.911391925,2.334722291,5.647609678,2.560807974,0.106731218,-22.61128672
53:16.8,Southern Ocean,-78.29071326,-37.70664644,3224.275143,35.09211585,8.441821269,1.398716779,20.72907574,1.050770684,6.108634579,1.892981514,9.536514129,-9.090779962
53:16.8,Arctic Ocean,80.79939671,-114.5596078,5044.710432,39.45050553,8.155558197,3.269429124,21.90742892,0.682835065,3.151524069,2.802182998,13.02375849,-27.1757104
